195.191.175.252 - - [08/Oct/2021:01:06:13 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
195.191.175.252 - - [08/Oct/2021:01:06:13 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
195.191.175.252 - - [08/Oct/2021:01:06:13 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
195.191.175.252 - - [08/Oct/2021:01:06:14 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:01:11:51 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:01:11:52 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:01:11:53 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
34.79.68.246 - - [08/Oct/2021:01:16:23 +0300] "GET / HTTP/1.1" 301 178 "-" "python-requests/2.26.0"
51.15.59.15 - - [08/Oct/2021:01:38:23 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.49"
51.15.59.15 - - [08/Oct/2021:01:38:25 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.49"
51.15.59.15 - - [08/Oct/2021:01:38:29 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.49"
51.15.59.15 - - [08/Oct/2021:01:38:32 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.49"
66.249.64.60 - - [08/Oct/2021:02:26:12 +0300] "GET /robots.txt HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.108 - - [08/Oct/2021:02:26:13 +0300] "GET /robots.txt HTTP/1.1" 404 1251 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
